song_title,artist_name,features
Homage,Mild High Club,-63.208621978759766
Metamodernity,Vansire,-17.39214515686035
Dissolve,Absofacto,-52.54252243041992
Dark Red,Steve Lacy,-77.54721069335938
Looking Out for You,Joy Again,-76.00756072998047
Champagne Coast,Blood Orange,-47.31712341308594
Intolewd,Matt Maltese,-12.029120445251465
"Anytime, Anyplace, Anyhow",Matt Maltese,-50.14674377441406
Mystery,Matt Maltese,-16.483760833740234
Pined For You My Whole Life,Matt Maltese,-86.88558959960938
Glue Song,beabadoobee,-80.72422790527344
Treehouse,Alex G,-26.2835693359375
From The Start,Laufey,-10.722591400146484
No One Noticed,The Marías,-34.04072570800781
My Love Mine All Mine,Mitski,-81.76831817626953
I Know You,Faye Webster,-72.08678436279297
Christmas Kids,Roar,-79.95817565917969
Cry,Cigarettes After Sex,-58.28915786743164
No. 1 Party Anthem,Arctic Monkeys,-32.6920280456543
Tek It,Cafuné,-16.40993881225586
Apocalypse,Cigarettes After Sex,-82.63337707519531
When the Sun Hits,Slowdive,-78.69100952148438
Do I Wanna Know?,Arctic Monkeys,-77.00159454345703
MIROTIC,TVXQ!,-69.75690460205078
Supernova,aespa,-73.0672378540039
Magnetic,ILLIT,-79.02204132080078
A Day For Me,Shinae An,-69.38709259033203
Confusion,Shinae An,-79.44706726074219
Watermelon,John + Jane Q. Public,-74.49523162841797
Take Me Out,Franz Ferdinand,-86.89749145507812
Clay Pigeons,Michael Cera,-48.499046325683594
Resonance,Home,-13.424121856689453
Steeeam,Shelly,-31.55657958984375
Earthstar,Hannah Cohen,-27.03843879699707
Velvet Ring - 2023 Remaster,Big Thief,-40.10261917114258
