name,track_id,artist,artist_id,album,genres,played_at
Reflections,5Zf25eS8E1znm9mez4cGsm,Toshifumi Hinata,08tfDO4dSrwxax35a3HIMC,ひとつぶの海,['japanese classical'],2025-04-08T03:25:43.685Z
EVERYTHING,19Hg1UCZaCdpHB37L7x63X,The Black Skirts,6WeDO4GynFmK4OxwkBzMW8,TEAM BABY,['k-rock'],2025-04-08T03:04:13.968Z
When My Life Is Over,1FEReJVLy8W0P4GOT7NHLc,Banes World,5BCnLrqpwYtufR1bDWn0hG,When My Life Is Over,['bedroom pop'],2025-04-08T02:59:20.348Z
(Only) About Love - Demo,0T3pyPYtHAsxIRymAZsTkX,grentperez,73BLwSX6gsNeVzS7DgI4xe,Demo(s) About Love,[],2025-04-08T02:56:59.155Z
Lily of The Valley,4gAIUEY7VkeiKQOPwIYaYb,DANIEL,1eZ0sjIrNuSNiZSfjTYgi6,Flower,[],2025-04-08T02:52:40.643Z
Fuzzybrain,5sVXCez77vrBgDoeJKfv4U,Dayglow,6eJa3zG1QZLRB3xgRuyxbm,Fuzzybrain,['indie rock'],2025-04-08T02:47:42.527Z
NAN CHUN,4TBHfv2isYco3fNKjQ8oSI,SE SO NEON,07OePkse2fcvU9wlVftNMl,NAN CHUN,"['k-rock', 'japanese indie']",2025-04-08T02:44:02.677Z
Under Control,3kKb3U3a8jmUJQB9ypE1Jl,The Strokes,0epOFNiUfyON9EYx7Tpr6V,Room On Fire,"['garage rock', 'indie rock', 'alternative rock']",2025-04-08T02:40:12.562Z
Sweet,2KhrPRV0V1FS2l4eQMJUWt,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,['dream pop'],2025-04-08T02:37:04.651Z
You Say I'm in Love,20tAOmUzziDG8IPe0mamhH,Banes World,5BCnLrqpwYtufR1bDWn0hG,You Say I'm in Love,['bedroom pop'],2025-04-08T02:32:12.699Z
Mariella,3dvXRk7TZ929m21p49RR5P,"Khruangbin, Leon Bridges","2mVVjNmdjXZZDvhgQWiakk, 3qnGvpP8Yth1AqSBMqON5x",Texas Moon,[],2025-04-08T02:29:15.329Z
Love T.K.O.,3IVaPHncIZWWNjfg29HVLq,Teddy Pendergrass,68kACMx6A3D2BYiO056MeQ,TP (Expanded Edition),"['philly soul', 'quiet storm', 'soul', 'smooth soul']",2025-04-08T02:24:04.447Z
Even If It's a Lie - Demo,0MVeLASrPyBrC6hwwhIMwu,Matt Maltese,12j6dJrPXanCBwY599pZxf,Even If It's a Lie (Demo),[],2025-04-08T01:40:13.321Z
endless party,3SG4ZmpPZsn58giVf58KNS,"2504, ang3lx","3s6Gdmnv9MuQNX2E7i5EMr, 4C1yaV91cD7qWh5sVY8Cjt",endless party,['hyperpop'],2025-04-06T09:38:08.830Z
krushed!,3iQ1B1jF370iZEaJUIs3eJ,"$werve, SXCREDMANE, FXRCE","60vF1fLR6yzLxCQUlnAYYj, 7MLzeghYGtox25YcP078j9, 5UKXrvmyouEgmvon7DwwzA",krushed!,"['phonk', 'brazilian phonk', 'drift phonk']",2025-04-06T09:32:05.484Z
BRAZILIAN DANÇA PHONK,6yVjjQA31SLM1kc4j5jPwF,"6YNTHMANE, RXDXVIL","24YUNOEuu3kf4OOtC8cQE5, 54HaZmktN1cmdL8Ygdrmzz",BRAZILIAN DANÇA PHONK,"['phonk', 'brazilian phonk']",2025-04-03T02:05:33.552Z
Under Control,3kKb3U3a8jmUJQB9ypE1Jl,The Strokes,0epOFNiUfyON9EYx7Tpr6V,Room On Fire,"['garage rock', 'indie rock', 'alternative rock']",2025-04-03T01:28:42.208Z
Confusion,2Ra0CiV9BzLmIbxpbFHSLC,Shinae An,5lt17V0z9fzfwRDFCZVWIQ,Buried Hearts (Original Television Soundtrack) Pt. 1,[],2025-03-31T15:43:06.107Z
Confusion,2Ra0CiV9BzLmIbxpbFHSLC,Shinae An,5lt17V0z9fzfwRDFCZVWIQ,Buried Hearts (Original Television Soundtrack) Pt. 1,[],2025-03-31T14:59:29.816Z
Embrace,1wszdDUhlil6EH3SRkmTZL,Pastel Ghost,06O23tLg0or676h8EEzH7W,Abyss,"['witch house', 'darkwave']",2025-03-31T14:53:26.193Z
Embrace,1wszdDUhlil6EH3SRkmTZL,Pastel Ghost,06O23tLg0or676h8EEzH7W,Abyss,"['witch house', 'darkwave']",2025-03-31T14:50:01.580Z
Embrace,1wszdDUhlil6EH3SRkmTZL,Pastel Ghost,06O23tLg0or676h8EEzH7W,Abyss,"['witch house', 'darkwave']",2025-03-31T14:46:36.796Z
Embrace,1wszdDUhlil6EH3SRkmTZL,Pastel Ghost,06O23tLg0or676h8EEzH7W,Abyss,"['witch house', 'darkwave']",2025-03-31T14:43:12.119Z
Embrace,1wszdDUhlil6EH3SRkmTZL,Pastel Ghost,06O23tLg0or676h8EEzH7W,Abyss,"['witch house', 'darkwave']",2025-03-31T14:39:47.836Z
Embrace,1wszdDUhlil6EH3SRkmTZL,Pastel Ghost,06O23tLg0or676h8EEzH7W,Abyss,"['witch house', 'darkwave']",2025-03-31T14:36:23.071Z
Embrace,1wszdDUhlil6EH3SRkmTZL,Pastel Ghost,06O23tLg0or676h8EEzH7W,Abyss,"['witch house', 'darkwave']",2025-03-31T14:32:58.356Z
Embrace,1wszdDUhlil6EH3SRkmTZL,Pastel Ghost,06O23tLg0or676h8EEzH7W,Abyss,"['witch house', 'darkwave']",2025-03-31T14:29:33.800Z
Embrace,1wszdDUhlil6EH3SRkmTZL,Pastel Ghost,06O23tLg0or676h8EEzH7W,Abyss,"['witch house', 'darkwave']",2025-03-31T14:26:09.303Z
Embrace,1wszdDUhlil6EH3SRkmTZL,Pastel Ghost,06O23tLg0or676h8EEzH7W,Abyss,"['witch house', 'darkwave']",2025-03-31T14:22:44.326Z
Embrace,1wszdDUhlil6EH3SRkmTZL,Pastel Ghost,06O23tLg0or676h8EEzH7W,Abyss,"['witch house', 'darkwave']",2025-03-31T14:19:19.996Z
Embrace,1wszdDUhlil6EH3SRkmTZL,Pastel Ghost,06O23tLg0or676h8EEzH7W,Abyss,"['witch house', 'darkwave']",2025-03-31T14:15:55.294Z
Embrace,1wszdDUhlil6EH3SRkmTZL,Pastel Ghost,06O23tLg0or676h8EEzH7W,Abyss,"['witch house', 'darkwave']",2025-03-31T14:12:30.878Z
Dark Beach,7fqjWHXf330QwnfaAWB2Dr,Pastel Ghost,06O23tLg0or676h8EEzH7W,Abyss,"['witch house', 'darkwave']",2025-03-31T14:05:39.164Z
하루살이,2AA1f7utyvXpmtKsEvp5lz,"DEAN, SULLI, Rad Museum","3eCd0TZrBPm2n9cDG6yWfF, 1OjcBoc71FwlzD5cJGx7xk, 6UdKtISMXYKSR8jcgtFePo",하루살이,"['k-rap', 'k-pop']",2025-03-21T13:36:51.728Z
A Song Nobody Knows,7x63A2ceUzPs7UBAxmVGbf,Colde,3VQDqjQ4wJyw8PzpGdlZpB,idealism,[],2025-03-18T08:52:57.476Z
Bye Bye My Blue,4GUqcCrsISpXTbiAFz6FcO,Yerin Baek,6dhfy4ByARPJdPtMyrUYJK,Bye Bye My Blue,['k-ballad'],2025-03-18T08:44:39.390Z
Restless,2Lf2P7Hei9O23LeZQACn8E,BIBI,6UbmqUEgjLA6jAcXwbM1Z9,Restless,"['k-pop', 'k-rap']",2025-03-18T08:40:54.959Z
Blondie,6f9rEIGzSTgAJYJv9F7s3f,Current Joys,0m5FakHKCQdA7UN0PIzMcL,Wild Heart,[],2025-03-18T08:35:28.954Z
Blondie,6f9rEIGzSTgAJYJv9F7s3f,Current Joys,0m5FakHKCQdA7UN0PIzMcL,Wild Heart,[],2025-03-18T08:32:25.859Z
